  02,  03,  05,  08,  09,  11,  21,  22,  24,  26,  28,  31,  32,  33,  34,  38,  61,  62,  67,  68,  81,  82,  84, prio02, prio03, prio05, prio08, prio09, prio11, hd02, hd03, hd05, hd08, hd09, hd11, uswtv24,
 238, 654, 888, 278,   0,  30,   0,   0,   0,   0,   0,   0,   0,   0,   0, 249,  52, 268,   0,   0,   0,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 229, 645, 879, 269,   0,  21,   0,   0,   0,   0,   0,   0,   0,   0,   0, 240,  42, 259,   0,   0,   0,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 219, 635, 869, 259,   0,  11,   0,   0,   0,   0,   0,   0,   0,   0,   0, 230,  32, 249, 914,  41,   0,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 210, 626, 860, 250,   0,   2,   0,   0,   0,   0,   0,   0,   0,   0,   0, 221,  22, 240,  60,  32,   0,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 201, 618, 852, 242,   0,   0,   0,   0,   0,   0,   0,   0, 822,   0,   0, 213,  12, 231,  51,  22,   0,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 191, 608, 842, 232,   0,   0,   0,   0,   0,   0,   0,   0, 812,   0,   0, 203,   2, 221,  41,  12,   0,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 181, 598, 832, 222,   0,   0,   0, 802,   0,   0,   0,   0, 802,   0,   0, 193,   0, 211,  31,   2,   0,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 171, 588, 822, 212,   0,   0,   0, 792,   0,   0,   0,   0, 792,   0,   0, 183,   0, 201,  21,   0,   0,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 162, 579, 813, 203,   0,   0,   0, 783,   0,   0,   0,   0, 783,   0,   0, 174,   0, 192,  12,   0,   0,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 152, 569, 803, 193,   0,   0,   0, 773,   0,   0,   0,   0, 773,   0,   0, 164,   0, 182,   2,   0, 543,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 142, 559, 793, 183,   0,   0,   0, 763,   0,   0,   0,   0, 763,   0,   0, 154,   0, 172,   0,   0, 533,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
 132, 549, 783, 173,   0,   0,   0, 753,   0,   0,   0,   0, 753,  -3,  -3, 144,   0, 162,   0,   0, 523,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
  32, 431, 665,  55,   0,   0,   0, 635,   0,   0,  50,   0, 635,  -3,  -3,  50,   0,  46,   0,   0, 405,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
  22, 421, 655,  45,   0,   0,   0, 625,   0,   0,  40,   0, 625,  -3,  -3,  40,   0,  36,   0,   0, 395,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
  12, 411, 645,  35,   0,   0,   0, 615,   0,   0,  30, 647, 615,  -3,  -3,  30,   0,  26,   0,   0, 385,   0,  -3,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   2, 401, 635,  25,   0,   0,   0, 605,  -3,   0,  20, 637, 605,  -3,  -3,  20,   0,  16,   0,   0, 375,   0,  -3,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0, 391, 625,  15,   0,   0,   0, 595,  -3,   0,  10, 627, 595,  -3,  -3,  10,   0,   6,   0,   0, 365,   0,  -3,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0, 381, 615,   5,   0,   0,   0, 585,  -3,   0,   0, 617, 585,  -3,  -3,   0,   0,   0,   0,   0, 355,   0,  -3,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0, 373, 607,   0,   0,   0,   0, 577,  -3,   0,   0, 609, 577,  -3,  -3,   0, 597,   0,   0,   0, 347,   0,  -3,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0, 363, 597,   0,   0,   0,   0, 567,  -3,   0,   0, 599, 567,  -3,  -3,   0, 587,   0,   0,   0, 337,   0,  -3,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0, 353, 587,   0,   0,   0,   0, 557,  -3,   0,   0, 589, 557,  -3,  -3,   0, 577,   0,   0,   0, 327,   0,  -3,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0, 343, 577,   0,   0,   0,   0, 547,  -3,   0,   0, 579, 547,  -3,  -3,   0, 568,   0,   0,   0, 317,   0,  -3,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0, 334, 568,   0,   0,   0,   0, 538,  -3,   0,   0, 570, 538,  -3,  -3,   0, 558,   0,   0,   0, 308,   0,  -3,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0, 324, 558,   0,   0,   0,   0, 528,   0,   0,   0, 560, 528,   0,   0,   0, 548,   0,   0,   0, 298,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0, 314, 548,   0,   0,   0,   0, 518,   0,   0,   0, 550, 518,   0,   0,   0, 538,   0, 593,   0, 288,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0, 304, 538,   0,   0,   0,   0, 508,   0,   0,   0, 540, 508,   0,   0,   0, 528,   0, 583,   0, 278,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0, 294, 528,   0,   0,   0,   0, 498,   0,   0,   0, 530, 498,   0,   0,   0, 126,   0, 573,   0, 268,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0, 284, 518,   0,   0,   0,   0, 488,   0,   0,   0, 520, 488,   0,   0,   0, 116,   0, 563,   0, 258,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0, 274, 508,   0,   0,   0,   0, 478,   0,   0,   0, 510, 478,   0,   0,   0, 106,   0, 553,   0, 248,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0, 264, 498,   0,   0,   0, 464, 468,   0,   0,   0, 500, 468,   0,   0,   0,  96,   0, 543,   0, 238,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0, 254, 488,   0,   0,   0, 454, 458,   0,   0,   0, 490, 458,   0,   0,   0,  86,   0, 533,   0, 228,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0, 128, 362,   0,   0,   0, 328, 332,   0,   0,   0, 364, 332,   0,   0,   0,  76,   0, 460,   0, 102,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0, 118, 352,   0,   0,   0, 318, 322,   0,   0,   0, 354, 322,   0,   0,   0,  66,   0, 450,   0,  92,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0, 108, 342,   0,   0,   0, 308, 312,   0,   0,   0, 344, 312,   0,   0,   0,  56,   0, 440,   0,  82,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0,  80, 314,   0,   0,   0, 280, 284,   0, 131,   0, 316, 284,   0,   0,   0,  46,   0, 334,   0,  54,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
   0,  70, 304,   0,   0,   0, 270, 274,   0, 121,   0, 306, 274,   0,   0,   0,  36,   0, 324,   0,  44,   0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,
